+-------+--------------------------------+----------------+-------+
|   #   | User Name                      | Boulder/routes |   %   |
|  129  | PinnacleIndoorClimbing         |      134       | 0.050 |
|  130  | maxmastell3r                   |      134       | 0.050 |
|  131  | Saltydogbouldering             |      133       | 0.049 |
|  132  | beachesrockgym                 |      133       | 0.049 |
|  133  | deadpointer                    |      133       | 0.049 |
|  134  | samtwilson97                   |      133       | 0.049 |
|  135  | Arne                           |      132       | 0.049 |
|  136  | einsteinKilterBoardGames       |      132       | 0.049 |
|  137  | medvis                         |      132       | 0.049 |
|  138  | tomtoell                       |      132       | 0.049 |
|  139  | amckeska                       |      131       | 0.049 |
|  140  | sawysauce                      |      131       | 0.049 |
|  141  | brianharrington                |      130       | 0.048 |
|  142  | adamcweaver39                  |      129       | 0.048 |
|  143  | joshuaandress                  |      129       | 0.048 |
|  144  | paulahnn                       |      129       | 0.048 |
|  145  | Eliasdem                       |      128       | 0.047 |
|  146  | LankyKong                      |      127       | 0.047 |
|  147  | leoskinner                     |      127       | 0.047 |
|  148  | adubsron                       |      125       | 0.046 |
|  149  | parritzo                       |      125       | 0.046 |
|  150  | Hangar18SC                     |      124       | 0.046 |
|  151  | MovementWrigleyville           |      124       | 0.046 |
|  152  | Torstein                       |      123       | 0.046 |
|  153  | DaniTapizzz                    |      122       | 0.045 |
|  154  | adambs                         |      122       | 0.045 |
|  155  | derwelt                        |      122       | 0.045 |
|  156  | Thenickoftime                  |      121       | 0.045 |
|  157  | demyanek                       |      121       | 0.045 |
|  158  | pumpfriction                   |      121       | 0.045 |
|  159  | schang                         |      121       | 0.045 |
|  160  | BFF_Guest                      |      120       | 0.045 |
|  161  | sharma                         |      120       | 0.045 |
|  162  | thalley                        |      120       | 0.045 |
|  163  | trendyrendy                    |      120       | 0.045 |
|  164  | MegaSTONE                      |      119       | 0.044 |
|  165  | ND_climbing                    |      119       | 0.044 |
|  166  | ThickYosh                      |      119       | 0.044 |
|  167  | mlee16                         |      119       | 0.044 |
|  168  | posesmotter                    |      119       | 0.044 |
|  169  | Ds4564561                      |      118       | 0.044 |
|  170  | cwlester                       |      118       | 0.044 |
|  171  | AndyY                          |      117       | 0.043 |
|  172  | campusescalade                 |      117       | 0.043 |
|  173  | hangar18sanclemente            |      117       | 0.043 |
|  174  | Depresto                       |      116       | 0.043 |
|  175  | Melker88                       |      116       | 0.043 |
|  176  | mr_van_tastic                  |      116       | 0.043 |
|  177  | pfs                            |      116       | 0.043 |
|  178  | pinguclimber                   |      116       | 0.043 |
|  179  | tomtom3838                     |      116       | 0.043 |
|  180  | AlexM0927                      |      115       | 0.043 |
|  181  | DynoClimb                      |      115       | 0.043 |
|  182  | arubin88                       |      115       | 0.043 |
|  183  | maurecently                    |      115       | 0.043 |
|  184  | yevyevquest                    |      115       | 0.043 |
|  185  | Hazen                          |      114       | 0.042 |
|  186  | banana                         |      114       | 0.042 |
|  187  | mario2792                      |      114       | 0.042 |
|  188  | climbernerd                    |      113       | 0.042 |
|  189  | bkruse407                      |      112       | 0.042 |
|  190  | quinndowlandperson             |      111       | 0.041 |
|  191  | strings                        |      111       | 0.041 |
|  192  | Senor_Taco                     |      110       | 0.041 |
|  193  | bct                            |      110       | 0.041 |
|  194  | huylerocks                     |      110       | 0.041 |
|  195  | snador                         |      110       | 0.041 |
|  196  | Burcu44                        |      109       | 0.040 |
|  197  | langmack                       |      109       | 0.040 |
|  198  | sushiii                        |      109       | 0.040 |
|  199  | LeonsLethalJawline             |      108       | 0.040 |
|  200  | Marcus_87                      |      108       | 0.040 |
|  201  | GwadaGrimpe                    |      107       | 0.040 |
|  202  | qietperson                     |      107       | 0.040 |
|  203  | yentobean                      |      107       | 0.040 |
|  204  | dperez                         |      106       | 0.039 |
|  205  | pampa.nihao                    |      106       | 0.039 |
|  206  | tytaft                         |      106       | 0.039 |
|  207  | wills                          |      106       | 0.039 |
|  208  | Matthew_C                      |      104       | 0.039 |
|  209  | Jackson_Meadow                 |      103       | 0.038 |
|  210  | Rockero                        |      103       | 0.038 |
|  211  | rockandwall                    |      103       | 0.038 |
|  212  | GeorgeFoerster                 |      102       | 0.038 |
|  213  | SenatorWiggles                 |      102       | 0.038 |
|  214  | honngy                         |      102       | 0.038 |
|  215  | ratclaw                        |      102       | 0.038 |
|  216  | TrailheadTablet                |      101       | 0.037 |
|  217  | owen_                          |      101       | 0.037 |
|  218  | ABenAbides                     |      100       | 0.037 |
|  219  | BigChedda                      |      100       | 0.037 |
|  220  | SeaOfCzars                     |      100       | 0.037 |
|  221  | Zaywop                         |      100       | 0.037 |
|  222  | crocsg                         |      100       | 0.037 |
|  223  | ettore                         |      100       | 0.037 |
|  224  | gabsage                        |      100       | 0.037 |
|  225  | mattbradley                    |      100       | 0.037 |
|  226  | zsa                            |      100       | 0.037 |
|  227  | BamaSwimmer121                 |       99       | 0.037 |
|  228  | Eddie.Mezei                    |       99       | 0.037 |
|  229  | WarehouseRocksPA               |       99       | 0.037 |
|  230  | lukas202                       |       98       | 0.036 |
|  231  | ryanneedles                    |       98       | 0.036 |
|  232  | LachlanJennings                |       97       | 0.036 |
|  233  | aymeb923                       |       97       | 0.036 |
|  234  | lillben                        |       97       | 0.036 |
|  235  | rollyboy                       |       97       | 0.036 |
|  236  | sandals                        |       97       | 0.036 |
|  237  | KKaden                         |       96       | 0.036 |
|  238  | Secnar                         |       96       | 0.036 |
|  239  | ashsap93                       |       96       | 0.036 |
|  240  | bobby1                         |       96       | 0.036 |
|  241  | boddha                         |       96       | 0.036 |
|  242  | climb_cleveland                |       96       | 0.036 |
|  243  | freezyfreaz                    |       96       | 0.036 |
|  244  | jakedotclimbs                  |       96       | 0.036 |
|  245  | rileyhunt                      |       96       | 0.036 |
|  246  | thomashochman                  |       96       | 0.036 |
|  247  | AlexAtOTB                      |       95       | 0.035 |
|  248  | KENtyobi                       |       95       | 0.035 |
|  249  | La_lex_31                      |       95       | 0.035 |
|  250  | Snyyerps                       |       95       | 0.035 |
|  251  | ashergavin                     |       95       | 0.035 |
|  252  | gu_kilter                      |       95       | 0.035 |
|  253  | rizoman                        |       95       | 0.035 |
|  254  | BoardGAN                       |       94       | 0.035 |
|  255  | LorenzG                        |       94       | 0.035 |
|  256  | TheCliffsAtGowanus             |       94       | 0.035 |
|  257  | n8dawg                         |       94       | 0.035 |
|  258  | pabloclimbing                  |       94       | 0.035 |
|  259  | petelowe                       |       94       | 0.035 |
|  260  | stubbs                         |       94       | 0.035 |
|  261  | AdamKnight                     |       93       | 0.034 |
|  262  | Kojak                          |       93       | 0.034 |
|  263  | Thatsprettybrad                |       93       | 0.034 |
|  264  | banana123                      |       93       | 0.034 |
|  265  | chombowombo                    |       93       | 0.034 |
|  266  | cliff_shredder                 |       93       | 0.034 |
|  267  | cryptoblowfish                 |       93       | 0.034 |
|  268  | ethanT                         |       93       | 0.034 |
|  269  | jamiekha                       |       93       | 0.034 |
|  270  | kiel                           |       93       | 0.034 |
|  271  | kolbynix                       |       93       | 0.034 |
|  272  | emilianbosch                   |       92       | 0.034 |
|  273  | noapproachnate                 |       92       | 0.034 |
|  274  | FloW95                         |       91       | 0.034 |
|  275  | casey                          |       91       | 0.034 |
|  276  | pt_the_dude                    |       91       | 0.034 |
|  277  | Trom1133                       |       90       | 0.033 |
|  278  | dojustinn                      |       90       | 0.033 |
|  279  | maximejobels                   |       90       | 0.033 |
|  280  | mikelrv89                      |       90       | 0.033 |
|  281  | EW_Joe                         |       89       | 0.033 |
|  282  | biscuit                        |       89       | 0.033 |
|  283  | campus                         |       89       | 0.033 |
|  284  | kilterian                      |       89       | 0.033 |
|  285  | rikischwark                    |       89       | 0.033 |
|  286  | tonyberlier                    |       89       | 0.033 |
|  287  | ecchastang                     |       88       | 0.033 |
|  288  | smnmntg                        |       88       | 0.033 |
|  289  | stumposs                       |       88       | 0.033 |
|  290  | tyler_the_cat                  |       88       | 0.033 |
|  291  | BirkUtenC                      |       87       | 0.032 |
|  292  | TheGoodyClimber                |       87       | 0.032 |
|  293  | moumogram                      |       87       | 0.032 |
|  294  | Ahnsight                       |       86       | 0.032 |
|  295  | GucciKrimDog                   |       86       | 0.032 |
|  296  | Julianschindler                |       86       | 0.032 |
|  297  | MIGZ3369                       |       86       | 0.032 |
|  298  | T.Livingston                   |       86       | 0.032 |
|  299  | allez_ale                      |       86       | 0.032 |
|  300  | c_Dog32                        |       86       | 0.032 |
|  301  | handiandi8778                  |       86       | 0.032 |
|  302  | steven97                       |       86       | 0.032 |
|  303  | ydfufufif                      |       86       | 0.032 |
|  304  | BlakeMaclure                   |       85       | 0.032 |
|  305  | HugoKlettern                   |       85       | 0.032 |
|  306  | RockandWallClimbing            |       85       | 0.032 |
|  307  | DTH                            |       84       | 0.031 |
|  308  | Pjottr                         |       84       | 0.031 |
|  309  | boulderbar                     |       84       | 0.031 |
|  310  | shunter_climber                |       84       | 0.031 |
|  311  | zdordai                        |       84       | 0.031 |
|  312  | Frostknocker                   |       83       | 0.031 |
|  313  | NoDallas                       |       83       | 0.031 |
|  314  | RiverTulloss                   |       83       | 0.031 |
|  315  | Spiritrock                     |       83       | 0.031 |
|  316  | Adrenaline                     |       82       | 0.030 |
|  317  | HazelSends                     |       82       | 0.030 |
|  318  | JanHlwg                        |       82       | 0.030 |
|  319  | bellarach                      |       82       | 0.030 |
|  320  | core.nelius                    |       82       | 0.030 |
|  321  | itrytoclimb                    |       82       | 0.030 |
|  322  | BlakeOnKrack                   |       81       | 0.030 |
