+------+--------------------------------+-----------------+--------+
|  #   | User Name                      | Uploaded Videos |   %    |
| 124  | tryharderpaloma                | 32              | 0.112  |
| 125  | chantelleziyi                  | 31              | 0.109  |
| 126  | jules_board_account            | 31              | 0.109  |
| 127  | micheleclimbs                  | 31              | 0.109  |
| 128  | one_big_phasic_muscle          | 31              | 0.109  |
| 129  | owens_kilter_problems          | 31              | 0.109  |
| 130  | boredontheboard                | 30              | 0.105  |
| 131  | climb_h.j                      | 30              | 0.105  |
| 132  | jojos.jugs                     | 30              | 0.105  |
| 133  | kckboulder                     | 30              | 0.105  |
| 134  | loiduongjr                     | 30              | 0.105  |
| 135  | sergey_luzhetsky               | 30              | 0.105  |
| 136  | slothonakilter                 | 30              | 0.105  |
| 137  | verybadatkilter                | 30              | 0.105  |
| 138  | aznclimb3rboi                  | 29              | 0.102  |
| 139  | climbnast                      | 29              | 0.102  |
| 140  | kevin_lllam                    | 29              | 0.102  |
| 141  | min_min_climb                  | 29              | 0.102  |
| 142  | en_climber                     | 28              | 0.098  |
| 143  | lslbenny                       | 28              | 0.098  |
| 144  | moonshroomkin9                 | 28              | 0.098  |
| 145  | nogoodkilter                   | 28              | 0.098  |
| 146  | strappclimbs                   | 28              | 0.098  |
| 147  | stump_kilters                  | 28              | 0.098  |
| 148  | trtmike                        | 28              | 0.098  |
| 149  | brooowwwnieee                  | 27              | 0.095  |
| 150  | dr.crimpster                   | 27              | 0.095  |
| 151  | notstrong_justtall             | 27              | 0.095  |
| 152  | toms_climbing_vault            | 27              | 0.095  |
| 153  | bpluskilter                    | 26              | 0.091  |
| 154  | bryanclimbswalls               | 26              | 0.091  |
| 155  | dan_fu_climbs                  | 26              | 0.091  |
| 156  | kilter.tim.e                   | 26              | 0.091  |
| 157  | alfykltr                       | 25              | 0.088  |
| 158  | bradley_george_climb           | 25              | 0.088  |
| 159  | cool.board.climbs              | 25              | 0.088  |
| 160  | eli_but_im_on_the_board        | 25              | 0.088  |
| 161  | fingerbiubiu                   | 25              | 0.088  |
| 162  | joshclimbs28                   | 25              | 0.088  |
| 163  | kilterbizzle                   | 25              | 0.088  |
| 164  | lokeoliviaklattrar             | 25              | 0.088  |
| 165  | ss4343ss2018                   | 25              | 0.088  |
| 166  | climb_mega.losaurus            | 24              | 0.084  |
| 167  | dalt.exe                       | 24              | 0.084  |
| 168  | ew_board.account_              | 24              | 0.084  |
| 169  | finnkilter                     | 24              | 0.084  |
| 170  | flexi.monsieur                 | 24              | 0.084  |
| 171  | grant_boardclimbs              | 24              | 0.084  |
| 172  | jktmisao7                      | 24              | 0.084  |
| 173  | jordiclimbs                    | 24              | 0.084  |
| 174  | on_climb                       | 24              | 0.084  |
| 175  | veggieclimb                    | 24              | 0.084  |
| 176  | boardbetamax                   | 23              | 0.081  |
| 177  | cgv_climblin                   | 23              | 0.081  |
| 178  | jlai_climbs                    | 23              | 0.081  |
| 179  | runclimb_repeat_               | 23              | 0.081  |
| 180  | sooclimb                       | 23              | 0.081  |
| 181  | boardthattrain                 | 22              | 0.077  |
| 182  | caserhoades                    | 22              | 0.077  |
| 183  | climb_ryan                     | 22              | 0.077  |
| 184  | cows_can_climb_too             | 22              | 0.077  |
| 185  | noahsends                      | 22              | 0.077  |
| 186  | rjatlashomewall                | 22              | 0.077  |
| 187  | ssyjzmm                        | 22              | 0.077  |
