+-----+---------+--------------+-----------+----+----+-------+
|  #  | hold_id | placement_id | hold_role | x  | y  | count |
|  96 |   1515  |     1118     |     12    | 29 | 5  |  564  |
|  97 |   1505  |     1237     |     12    | 29 | 19 |  300  |
|  98 |   1587  |     1240     |     12    | 35 | 19 |  178  |
|  99 |   1622  |     1207     |     12    | 37 | 15 |  478  |
| 100 |   1590  |     1274     |     12    | 35 | 23 |   62  |
| 101 |   1473  |     1236     |     12    | 27 | 19 |  737  |
| 102 |   1632  |     1106     |     12    | 39 | 3  |  139  |
| 103 |   1629  |     1122     |     12    | 37 | 5  |  418  |
| 104 |   1460  |     1099     |     12    | 25 | 3  |  439  |
| 105 |   1334  |     1231     |     12    | 17 | 19 |  378  |
| 106 |   1303  |     1247     |     12    | 15 | 21 |  284  |
| 107 |   1278  |     1212     |     12    | 13 | 17 |  551  |
| 108 |   1464  |     1134     |     12    | 27 | 7  |  2897 |
| 109 |   1251  |     1296     |     12    | 11 | 27 |   14  |
| 110 |   1194  |     1311     |     12    | 7  | 29 |   13  |
| 111 |   1628  |     1139     |     12    | 37 | 7  |  1067 |
| 112 |   1638  |     1174     |     12    | 39 | 11 |  1526 |
| 113 |   1581  |     1172     |     12    | 35 | 11 |  1258 |
| 114 |   1578  |     1138     |     12    | 35 | 7  |  1184 |
| 115 |   1230  |     1108     |     12    | 9  | 5  |  416  |
| 116 |   1234  |     1109     |     12    | 11 | 5  |  769  |
| 117 |   1579  |     1155     |     12    | 35 | 9  |  3993 |
| 118 |   1576  |     1121     |     12    | 35 | 5  |  586  |
| 119 |   1357  |     1215     |     12    | 19 | 17 |  743  |
| 120 |   1245  |     1228     |     12    | 11 | 19 |  373  |
| 121 |   1360  |     1249     |     12    | 19 | 21 |  134  |
| 122 |   1635  |     1140     |     12    | 39 | 7  |  705  |
| 123 |   1448  |     1235     |     12    | 25 | 19 |  559  |
| 124 |   1588  |     1257     |     12    | 35 | 21 |  802  |
| 125 |   1645  |     1259     |     12    | 39 | 21 |  501  |
| 126 |   1282  |     1503     |     12    | 14 | 12 |  314  |
| 127 |   1281  |     1178     |     12    | 13 | 13 |  1333 |
| 128 |   1243  |     1211     |     12    | 11 | 17 |  117  |
| 129 |   1348  |     1113     |     12    | 19 | 5  |  323  |
| 130 |   1565  |     1205     |     12    | 33 | 15 |  746  |
| 131 |   1418  |     1550     |     12    | 24 | 22 |   27  |
| 132 |   1475  |     1551     |     12    | 28 | 22 |   20  |
| 133 |   1339  |     1504     |     12    | 18 | 12 |  146  |
| 134 |   1644  |     1242     |     12    | 39 | 19 |  123  |
| 135 |   1393  |     1523     |     12    | 22 | 16 |  206  |
| 136 |   1178  |     1175     |     12    | 7  | 13 |  1102 |
| 137 |   1466  |     1497     |     12    | 28 | 10 |  206  |
| 138 |   1518  |     1102     |     12    | 31 | 3  |  256  |
